[2026-06-22T21:45:17.923Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-22T21:45:18.042Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-22T21:45:34.010Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-22T21:46:08.351Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-22T21:46:29.699Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-22T21:46:29.742Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-22T21:46:35.368Z] IP: ::1 | USER: GUEST (N/A) | ACTION: INVALID_TOKEN_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Token inválido o expirado. Error: jwt malformed
[2026-06-23T16:52:15.598Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:15.851Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:16.097Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:16.345Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:16.595Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:16.847Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:17.097Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:17.347Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:17.600Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:17.849Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:18.099Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:18.349Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:18.600Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
[2026-06-23T16:52:18.851Z] IP: 127.0.0.1 | USER: GUEST (N/A) | ACTION: UNAUTHORIZED_ACCESS | DOC_ID: N/A | STATUS: FAILED | DETAILS: Intento de acceso sin token JWT
